time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Summer,CHARGE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Summer,CHARGE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Summer,CHARGE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Summer,CHARGE_PRIORITY
1.0,apartment,0.18120850571724123,3.6399999999999997,3.6399999999999997,0.0,0.0,3.4587914942827584,Summer,CHARGE_PRIORITY
1.0,family_house,0.30666054813686977,10.08,10.08,0.0,0.0,9.77333945186313,Summer,CHARGE_PRIORITY
1.0,luxury_house,0.3902952430832888,18.0,18.0,0.0,0.0,17.609704756916713,Summer,CHARGE_PRIORITY
1.0,small_family,0.27181275857586185,6.5,6.5,0.0,0.0,6.228187241424138,Summer,CHARGE_PRIORITY
2.0,apartment,1.282347693137889,3.6399999999999997,3.6399999999999997,0.0,0.0,2.3576523068621107,Summer,CHARGE_PRIORITY
2.0,family_house,2.170126865310274,10.08,10.08,0.0,0.0,7.909873134689725,Summer,CHARGE_PRIORITY
2.0,luxury_house,2.7619796467585305,18.0,18.0,0.0,0.0,15.238020353241469,Summer,CHARGE_PRIORITY
2.0,small_family,1.9235215397068335,6.5,6.5,0.0,0.0,4.576478460293166,Summer,CHARGE_PRIORITY
3.0,apartment,0.7640006185128008,3.6399999999999997,3.6399999999999997,0.0,0.0,2.875999381487199,Summer,CHARGE_PRIORITY
3.0,family_house,1.2929241236370475,10.08,10.08,0.0,0.0,8.787075876362952,Summer,CHARGE_PRIORITY
3.0,luxury_house,1.6455397937198786,18.0,18.0,0.0,0.0,16.354460206280123,Summer,CHARGE_PRIORITY
3.0,small_family,1.1460009277692011,6.5,6.5,0.0,0.0,5.353999072230799,Summer,CHARGE_PRIORITY
4.0,apartment,0.9883709400816394,3.6399999999999997,3.6399999999999997,0.0,0.0,2.6516290599183603,Summer,CHARGE_PRIORITY
4.0,family_house,1.6726277447535436,10.08,10.08,0.0,0.0,8.407372255246456,Summer,CHARGE_PRIORITY
4.0,luxury_house,2.1287989478681464,18.0,18.0,0.0,0.0,15.871201052131854,Summer,CHARGE_PRIORITY
4.0,small_family,1.482556410122459,6.5,6.5,0.0,0.0,5.017443589877541,Summer,CHARGE_PRIORITY
5.0,apartment,1.2846784234109516,3.6399999999999997,3.6399999999999997,0.0,0.0,2.355321576589048,Summer,CHARGE_PRIORITY
5.0,family_house,2.1740711780800717,10.08,10.08,0.0,0.0,7.905928821919928,Summer,CHARGE_PRIORITY
5.0,luxury_house,2.766999681192819,18.0,18.0,0.0,0.0,15.23300031880718,Summer,CHARGE_PRIORITY
5.0,small_family,1.9270176351164274,6.5,6.5,0.0,0.0,4.572982364883573,Summer,CHARGE_PRIORITY
