time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,0.0,1.1499770555132616,38.22,38.22,37.07002294448674,0.0,0.0,0.0,0.0,226.51612924461642
2.0,8.137975744913527,38.22,8.137975744913527,38.22,0.0,8.137975744913527,38.22,38.22,30.08202425508647,0.0,0.0,0.0,0.0,193.9490735232109
3.0,4.848465463638928,38.22,4.848465463638928,38.22,0.0,4.848465463638928,38.22,38.22,33.37153453636107,0.0,0.0,0.0,0.0,158.26131433919474
4.0,6.272354042825788,38.22,6.272354042825788,38.22,0.0,6.272354042825788,38.22,38.22,31.94764595717421,0.0,0.0,0.0,0.0,123.92437446853803
5.0,8.15276691780027,38.22,8.15276691780027,38.22,0.0,8.15276691780027,38.22,38.22,30.06723308219973,0.0,0.0,0.0,0.0,91.37135088580877
6.0,62.40256676210644,38.22,62.40256676210644,38.22,0.0,62.40256676210644,38.22,38.22,-24.18256676210644,0.0,0.0,0.0,0.0,110.28420633795612
7.0,72.81161460137864,38.22,72.81161460137864,38.22,0.0,72.81161460137864,38.22,38.22,-34.59161460137863,0.0,0.0,0.0,0.0,139.0719516238298
8.0,77.21885560627923,38.22,77.21885560627923,38.22,0.0,77.21885560627923,38.22,38.22,-38.998855606279236,0.0,0.0,0.0,0.0,172.040772841536
9.0,83.92073707974066,38.22,83.92073707974066,38.22,0.0,83.92073707974066,38.22,38.22,-45.70073707974067,0.0,0.0,0.0,0.0,211.36755707862926
10.0,90.7363364622646,38.22,90.7363364622646,38.22,0.0,90.7363364622646,38.22,38.22,-52.51633646226461,0.0,0.0,0.0,0.0,257.1601866161264
11.0,96.02809696766947,38.22,96.02809696766947,38.22,0.0,96.02809696766947,38.22,38.22,-57.80809696766947,0.0,0.0,0.0,0.0,307.97302096238445
12.0,98.40419841349059,38.22,98.40419841349059,38.22,0.0,98.40419841349059,38.22,38.22,-60.184198413490584,0.0,0.0,0.0,0.0,361.0400230647667
13.0,101.4866474483476,38.22,101.4866474483476,38.22,9.424507929116173,90.96645488104784,28.795492070883828,38.22,-63.266647448347605,0.0,1.0956846381835892,0.0,0.0,416.9852657301785
14.0,107.33379928629401,38.22,107.33379928629401,38.22,10.14,65.84577863610971,28.08,38.22,-69.11379928629401,0.0,31.348020650184303,0.0,0.0,449.85313727021116
15.0,117.2106982571977,38.22,117.2106982571977,38.22,10.14,71.03678682254406,28.08,38.22,-78.9906982571977,0.0,36.03391143465364,0.0,0.0,487.6456315767575
16.0,95.058646485591,38.22,95.058646485591,38.22,20.22,47.2131346328906,18.0,38.22,-56.838646485591,0.0,27.625511852700395,0.0,0.0,513.4622778905808
